策略名称,累计收益率(20年1月至今),平均年化收益率(近6年),累计收益率(25年1月至今),最大回撤25年至今
煤炭周期优选动态轮动策略,2.041,0.2019,0.0537,-0.2129
沪深300增强策略,4.4366,0.3231,0.593,-0.1756
半导体优选策略,73.5919,1.04,0.9891,-0.1962
成长红利量化选股,1.5088,0.1643,0.2151,-0.0739
双创50增强,141.60%（21年8月至今）,0.2157,1.1131,-0.2103
计算机ETF优选策略,709.10%（21年1月至今）,0.5097,1.0552,-0.2322
科创参数加强板,22.14%（21年8月至今）,0.0453,0.9702,-0.2884
机器人ETF优选策略,125.41%（22年1月至今）,0.219,0.6674,-0.2735
化工ETF优选策略,230.22%（22年1月至今）,0.3379,1.496,-0.1441
中证2000增强,149.18%（23年9月12至今）,0.4503,0.6757,-0.1532
形态识别,0.4268,0.0604,0.3346,-0.2057
中证800增强,15.5633,0.7556,1.238,-0.1227
军工etf增强,2.4435,0.2268,0.7849,-0.2151
中证1000增强,5.5384,0.3703,1.2996,-0.2344
旅游etf增强,1.5957,0.1708,-0.127,-0.2114
国企etf增强,0.5123,0.0708,0.0716,-0.1302
游戏etf增强,1.3948,0.1553,0.3053,-0.2514
酒etf增强,1.3727,0.1536,0.0753,-0.2502
动量趋势策略,153.49%  24年一月至今,0.5358,1.3091,-0.1214
锤子,2.1962,0.2118,0.7204,-0.1134
综合全,105.95%  24年一月至今,0.3955,0.9612,-0.0746
医疗etf增强,1.3424,0.1511,0.2091,-0.1908
通信etf增强,13.5726,0.5676,2.4045,-0.2064
房地产etf增强,6.1175,0.39,0.7287,-0.1926
食品etf增强,74.1%    22年一月至今,0.148,0.0353,-0.1321
创业板增强,17.7401,0.6235,1.0306,-0.1877
etf动量改,83.58%   22年一月至今,0.1595,0.4279,-0.1896
行业etf增强,119.3%   22年一月至今,0.2109,0.7339,-0.0708
策略ETF,43.63%   22年一月至今,0.0922,0.202,-0.1184
策略etf2,49.56%   22年一月至今,0.1031,0.3346,-0.0649
养殖etf增强,64%      22年一月至今,0.1311,0.2189,-0.1041
综合拆分1,154.28%  22年一月至今,0.2553,0.6695,-0.07
综合拆分2,158.16%  22年一月至今,0.26,0.7393,-0.0763
全球etf增强,2.5768,0.2346,0.646,-0.2078
百亿etf 1只,6.467,0.3943,1.171,-0.1643
百亿etf 2只,4.2594,0.3158,1.0218,-0.1025
桥水全天候,0.6748,0.089,0.0885,-0.0193
申万动量,11.8889,0.526,0.7721,-0.171
均衡持仓,3.1345,0.2645,0.4361,-0.0939
杠铃,2.6915,0.241,0.3119,-0.12
etf动量轮动,4.0388,0.3065,0.6794,-0.1204